Company Name,Updated,Company Number,Address,City,Postal,Development Region,Regional District,CityGroup,Areacode,Phone Prefix,Phone,Full Phone,Contacts,Main Contact,FirstName,LastName,Title,Publish Fax,Fax Areacode,Fax Prefix,Fax,Full Fax,Toll free,email,Web site,Sales,Employee Range,Employees,NAICS (N.American Ind. Classification Std.),NAICS Description,SIC (Std. Industrial Classification),SIC Description,Export Experience,Export Start Date,Export to,Potential to Export to,Products,Sectors,Company's Self Description,Contact 1,LastName 1,FirstName 1,Position 1,Description 1,Contact 2,Last Name 2,First Name 2,Position 2,Description 2,Contact 3,Last Name 3,First Name 3,Position 3,Description 3,Comments 
"""One-Write"" Accounting Systems Ltd.",12/9/2002,425505,P.O. Box 1172,Victoria,V8W 2T6,Vancouver Island/Coast,Capital,Victoria,250,,386-6211,250-386-6211,Mr. Wayne Allan  Main Contact     Darlene Boyd  Second Contact       ,Mr.,Wayne,Allan,President,Yes,250,,386-6471,250-386-6471,1-877-386-6211,cheques@accountamatic.com,,1400000,15 to 24,17,511120,"""Periodical Publishers""",2840,"""Combined publishing and printing industries""",Beginner,5/8/1997,United States; New Zealand,,"forms, carbonized, continuous or interleaved; business and accounting records; printed matter",communications; miscellaneous products,"EXPORTING BLANK PROCESSED PAPER FOR OVERPRINTING. CONTINUOUS COMPUTER FORMS, WIDE RANGE OF SIZES.  LASER CHEQUES WHOLESALE ONLY.",Mr.,Allan,Wayne,President,Main Contact, ,Boyd,Darlene,Manager,Second Contact,,,,,,
"""R"" Own Dried Food Co.",9/22/2003,660331,S70-C13 RR#2,Rock Creek,V0H 1Y0,Kootenay,Kootenay Boundary,Rock Creek,250,,446-2624,250-446-2624,  Ann-Marie Friesen  Main Contact     Paul Friesen  Second Contact       , ,Ann-Marie,Friesen,Owner,No,,,,,,sales@countrypepper.com,www.countrypepper.com,0,1 to 5,3,311940,"""Seasoning and Dressing Manufacturing""",0,"""Unknown""",None,,,,spice mixtures,food and beverage,"WE BLEND UNIQUE COOKING SPICES FOR RETAIL & RESTAURANT SALES. OUR LEADING PRODUCT IS ""R"" OWN COUNTRY PEPPER", ,Friesen,Ann-Marie,Owner,Main Contact, ,Friesen,Paul,Owner,Second Contact,,,,,,
10 Ball Inc.,11/5/2002,658926,11927 95A Avenue,Delta,V4C 3W1,Mainland/Southwest,Greater Vancouver,Delta,604,,589-6278,604-589-6278,Mr. Henry Chou  Main Contact              ,Mr.,Henry,Chou,Manager,No,,,,,(800)768-0528,service@10ball.com,www.10ball.com,100000,1 to 5,4,339930,"""Doll, Toy and Game Manufacturing""",1690,"""Other plastic products industries""",InterMediate,1/1/1995,United States,,sporting and recreation equipment (excl. uniforms and footwear); toys; plastic products; sporting equipment,personal and household goods; sporting goods,"TOYS AND FITNESS BALL MANUFACTURER: HOCKEY PUCKS, FOOTBALLS, INFLATABLE BALLS 8 - 36"", 45 - 85 CM, PLUS CUSTOM COLOURS & PRINTING.",Mr.,Chou,Henry,Manager,Main Contact,,,,,,,,,,,
102 Foot Mate Ltd.,5/28/2002,658687,1915 Makayev Road ,Castlegar,V1N 4K3,Kootenay,Central Kootenay,Castlegar,250,,365-6639,250-365-6639,  Ann Chursinoff  Main Contact              , ,Ann,Chursinoff, ,Yes,,,,,,footmate@netidea.com,www.castlegar.com/footmate/,10000,1 to 5,2,339110,"""Medical Equipment and Supplies Manufacturing""",3999,"""Other manufactured products industries n.e.c.""",Beginner,1/1/1994,Canada,United States,orthopaedic appliances (excl. footwear),personal and household goods,"THERAPEUTIC ELECTRIC REFLEX FOOT MASSAGER SUITABLE FOR HOME, THERAPHY CLINICS, SENIORS, RESIDENCES AND FITNESS CENTRES.", ,Chursinoff,Ann, ,Main Contact,,,,,,,,,,,
20/20 Products Inc.,1/24/2002,657336,9860 Angus Drive,Chilliwack,V2P 6A9,Mainland/Southwest,Fraser Valley,Chilliwack,604,,795-6400,604-795-6400,Mr. David Hubbard  Main Contact              ,Mr.,David,Hubbard,Owner,Yes,604,,795-6121,604-795-6121,,2020products@home.com,,500000,1 to 5,,339110,"""Medical Equipment and Supplies Manufacturing""",3914,"""Ophthalmic Goods Industry""",InterMediate,4/17/1985,Canada; United States,Europe; Asia,eyeglass cleaners; ophthalmic goods,personal and household goods,WESTERN CANADA''S BEST SELLING EYEGLASS CLEANER FOR REGULAR AND ANTI-REFLECTIVE LENSES.  .,Mr.,Hubbard,David,Owner,Main Contact,,,,,,,,,,,
2C Welding and Machining Ltd.,11/5/2003,659432,P.O. Box 2118,Fort St. James,V0J 1P0,Nechako,Bulkley-Nechako,Fort St. James,250,,996-2240,250-996-2240,  Glen Constantine  CEO     Carrie Constantine  Main Contact       , ,Carrie,Constantine,Bookkeeper,No,,,,,,twocweld@fsjames.com,,420000,1 to 5,3,332710,"""Machine Shops""",3081,"""Machine shop industry""",None,,,,machinists or machine work; welding,machinery and steel fabrication,STEEL AND HYDRAULICS SALES.  ALUMINUM WELDING AND REPAIRS. BACKHOE & GRAVEL TRUCK RENTALS., ,Constantine,Glen,President/Owner,CEO, ,Constantine,Carrie,Bookkeeper,Main Contact,,,,,,
3DM Devices Inc.,1/15/2003,659629,#7 - 3347 - 262 Street,Langley,V4W 3V9,Mainland/Southwest,Greater Vancouver,Langley (District),604,,856-8311,604-856-8311,  John Keightley  Main Contact              , ,John,Keightley,President,Yes,604,,856-4442,604-856-4442,,info@3dm.com,www.3dm.com,1500000,6 to 14,10,334110,"""Computer and Peripheral Equipment Manufacturing""",3361,"""Electronic computing and peripheral equipment industry""",InterMediate,1/1/1995,United States; Europe,,laser scanning systems,advanced technology and electronics,DEVELOPER AND MANUFACTURER OF LASER SCANNERS FOR 3-D MEASUREMENT APPLICATIONS., ,Keightley,John,President,Main Contact,,,,,,,,,,,
3M Dynapro,2/25/2002,185555,"800 Carleton Court, Annacis Island",Delta,V3M 6L3,Mainland/Southwest,Greater Vancouver,Delta,604,,521-3962,604-521-3962,  Ken Smith  Main Contact              , ,Ken,Smith,Manager,Yes,604,,521-4629,604-521-4629,1-800-667-0374,corporate-communications@dynapro.com,www.dynapro.com,84000000,200 to 499,460,511210,"""Software Publishers""",7721,"""Computer services""",Experienced,5/27/1983,World Wide,,electronic computer equipment and parts; computer hardware,advanced technology and electronics; software,"DYNAPRO SIMPLIFIES INTERACTION BETWEEN PEOPLE AND TECHNOLOGY BY DESIGNING AND MFGING WORLD CLASS HARDWARE, SOFTWARE AND TOUCH SCREEN SOLUTIONS.", ,Smith,Ken,Manager,Main Contact,,,,,,,,,,,
3S Printers Inc.,4/10/2002,658304,7019 Russel Avenue,Burnaby,V5J 4R8,Mainland/Southwest,Greater Vancouver,Burnaby,604,,433-8899,604-433-8899,Mr. Dave Sandhu  Main Contact              ,Mr.,Dave,Sandhu, ,Yes,604,,433-8828,604-433-8828,,sssprint@direct.ca,,1000000,15 to 24,,323119,"""Other Printing""",2819,"""Other commercial printing industries""",Beginner,2/25/1991,United States,,printed matter,personal and household goods,FROM DISK TO DELIVERY WE DO IT ALL IN HOUSE.,Mr.,Sandhu,Dave, ,Main Contact,,,,,,,,,,,
4M Technologies Inc.,1/14/2003,657928,2613 Murray Street,Port Moody,V3H 1X1,Mainland/Southwest,Greater Vancouver,Port Moody,604,,931-7536,604-931-7536,  Bui Durassamy  Main Contact     Christine Lam  Second Contact       , ,Bui,Durassamy,President,Yes,604,,931-7536,604-931-7536,,Bui4M@aol.com,,2500000,25 to 49,27,332810,"""Coating, Engraving, Heat Treating and Allied Activities""",3041,"""Custom coating of metal products industry""",InterMediate,12/1/1987,United States,,"laser engraving & cutting (glass, marble, plastics, stainless steel, brass, wood, etc.); nameplates - plastic, brass, stainless, aluminium, metal; labels; punching; screenprinting, custom; coatings, protective & industrial",machinery and steel fabrication,"PRECISION METAL FABRICATION-POWDER COATING, SCREEN PRINTING
LASER CUTTING, WELDING, MEMBRANE SWITCH", ,Durassamy,Bui,President,Main Contact, ,Lam,Christine,Office Manager,Second Contact,,,,,,
